<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20110207,0,71.45,71.88,69.99,71.07,33736504,0.645023076,,,,,,,
SBERP,D,20110208,0,71.05,71.21,69.36,69.59,28386911,0.631590768,,,,,,,
SBERP,D,20110209,0,69.91,70.08,68.38,69.02,24099956,0.626417514,,,,,,,
SBERP,D,20110210,0,69,69,67.67,67.99,24482720,0.617069354,,,,,,,
SBERP,D,20110211,0,68.2,70.2,67.95,70.11,32391865,0.636310228,,,,,,,
SBERP,D,20110214,0,70.73,71.57,70.01,70.41,30049734,0.639032993,,,,,,,
SBERP,D,20110215,0,70.59,71,69.21,69.38,19440072,0.629684832,,,,,,,
SBERP,D,20110216,0,69.52,70.26,68.9,70.2,24786025,0.637127057,,,,,,,
SBERP,D,20110217,0,70.52,71.38,69.69,69.99,31915807,0.635221122,,,,,,,
SBERP,D,20110218,0,70.29,70.52,68.63,69.45,21743513,0.630320144,,,,,,,
SBERP,D,20110221,0,69.68,70.26,68.35,69.16,27800455,0.627688138,,,,,,,
SBERP,D,20110222,0,68.61,68.7,66.99,67.5,30639240,0.61262217,,,,,,,
SBERP,D,20110224,0,66.99,68.09,65.72,67.16,31969828,0.60953637,,,,,,,
SBERP,D,20110225,0,68.04,69.34,67.7,69.24,28814230,0.628414209,,,,,,,
SBERP,D,20110228,0,69.79,71.02,68.95,70.7,26551705,0.641664999,,,,,,,
SBERP,D,20110301,0,71.09,71.32,69.75,69.85,28276300,0.633950498,,,,,,,
SBERP,D,20110302,0,69.18,69.98,68.65,69.85,21541700,0.633950498,,,,,,,
SBERP,D,20110303,0,70.1,70.89,69.94,70.51,19690200,0.639940581,,,,,,,
SBERP,D,20110304,0,70.84,70.95,69.26,69.39,19197600,0.629775591,,,,,,,
SBERP,D,20110305,0,69.28,70.3,69.11,70.1,12277300,0.636219469,,,,,,,
SBERP,D,20110309,0,70.19,71.24,69.75,70.41,28298900,0.639032993,,,,,,,
SBERP,D,20110310,0,70.02,70.07,67.67,67.99,30805900,0.617069354,,,,,,,
SBERP,D,20110311,0,67.49,68.48,66.91,67.8,22772300,0.615344936,,,,,,,
SBERP,D,20110314,0,67.6,68.89,66.8,67.05,26924500,0.608538023,,,,,,,
SBERP,D,20110315,0,65.7,66.46,64.6,65.8,43870100,0.597193168,,,,,,,
